Model,Bigvul,Devign,Sard,Primevul,Combined
linevul,23.4%  (132q),69.9%  (71q),0.5%  (441q),34.2%  (106q),31.3%  (113q)
reveal,11.1%  (21q),31.8%  (51q),1.0%  (21q),1.1%  (21q),8.5%  (53q)
ivdetect,6.1%  (72q),17.1%  (36q),1.0%  (21q),1.3%  (91q),5.7%  (74q)
graphcodebert,11.0%  (171q),37.0%  (133q),0.0%  (0q),19.8%  (136q),15.3%  (150q)
